customer_id,customer_name,email,registration_date,customer_type
CUST0001,Aryan Maharaj,udantdewan@example.net,2023-06-09,REGULAR
CUST0002,Pahal Balay,chandertejas@example.org,2025-02-24,REGULAR
CUST0003,Rushil Saini,saumyamall@example.org,2023-09-06,REGULAR
CUST0004,Harini Mall,tanveernayar@example.org,2023-05-25,REGULAR
CUST0005,Gunbir Parmer,aishani07@example.net,2023-07-13,PREMIUM
CUST0006,Farhan Memon,rehaan10@example.net,2023-12-21,REGULAR
CUST0007,Fariq Kaul,raiarunima@example.com,2025-09-14,PREMIUM
CUST0008,Nicholas Prabhakar,shaurya41@example.net,2025-09-13,REGULAR
CUST0009,Yash Gade,rraghavan@example.net,2025-12-05,REGULAR
CUST0010,Ekta Bhalla,azadmutti@example.com,2024-02-20,REGULAR
CUST0011,Siddharth Murty,xalakrandhawa@example.net,2024-12-13,REGULAR
CUST0012,Alka Dewan,adyasangha@example.net,2024-09-12,REGULAR
CUST0013,Theodore Devi,wchand@example.org,2023-06-20,REGULAR
CUST0014,Nathaniel Sami,rajanlakshmi@example.net,2024-12-28,REGULAR
CUST0015,Advay Contractor,harini14@example.com,2023-09-03,REGULAR
CUST0016,Aarush Lall,yashicacherian@example.net,2024-04-08,REGULAR
CUST0017,Michael Prakash,aadinaik@example.com,2023-01-31,REGULAR
CUST0018,Janani Mohanty,dalbirkhosla@example.net,2023-05-03,REGULAR
CUST0019,Vedika Biswas,kabirsoman@example.net,2023-09-14,PREMIUM
CUST0020,Pallavi Kakar,devikarastogi@example.net,2025-10-06,REGULAR
CUST0021,Raksha Varughese,pdara@example.org,2023-04-10,PREMIUM
CUST0022,Ansh Karpe,abhimanyubobal@example.net,2025-09-07,REGULAR
CUST0023,Veer Bir,narayananekavir@example.net,2024-01-05,REGULAR
CUST0024,Vedika Kala,urvashikibe@example.com,2024-09-24,REGULAR
CUST0025,Girindra Chatterjee,bpandya@example.com,2024-12-26,VIP
CUST0026,Guneet Bhat,znori@example.org,2024-01-22,REGULAR
CUST0027,Ranveer Yadav,bdey@example.org,2024-03-08,REGULAR
CUST0028,Zaid Borra,dchaudhari@example.net,2025-04-19,REGULAR
CUST0029,Girik Khalsa,niharikasunder@example.com,2023-11-29,PREMIUM
CUST0030,Daniel Gala,yagate@example.com,2024-12-07,REGULAR
CUST0031,Pallavi Sur,ranveerminhas@example.org,2023-04-01,PREMIUM
CUST0032,Dipta Bhandari,soodyadavi@example.net,2023-09-02,PREMIUM
CUST0033,Yashoda Buch,ekapadbir@example.net,2024-01-01,REGULAR
CUST0034,Jagdish Koshy,bumboni@example.net,2025-06-25,VIP
CUST0035,Advika Jayaraman,william46@example.org,2025-11-09,REGULAR
CUST0036,Tanvi Mutti,andratara@example.net,2025-05-24,REGULAR
CUST0037,Ethan Yogi,yashawinilanka@example.org,2024-06-26,PREMIUM
CUST0038,Yash Pingle,nakul78@example.net,2024-04-14,REGULAR
CUST0039,Chandani Chawla,aishanidalia@example.org,2025-05-09,PREMIUM
CUST0040,Anita Manda,hemaljani@example.net,2025-09-12,REGULAR
CUST0041,Yashasvi Suresh,charan16@example.com,2023-03-10,PREMIUM
CUST0042,Gauri De,neel78@example.net,2024-10-26,REGULAR
CUST0043,Isaac Borra,balendrapingle@example.net,2025-05-08,REGULAR
CUST0044,Qushi Datta,morarjanya@example.org,2024-07-09,REGULAR
CUST0045,Zaid Chauhan,niharika92@example.org,2023-09-10,REGULAR
CUST0046,Nitara Bakshi,gaurangisabharwal@example.net,2024-01-21,REGULAR
CUST0047,Nathaniel Chokshi,ebarad@example.org,2023-11-07,REGULAR
CUST0048,Inaya Mody,udantbajwa@example.net,2023-10-28,REGULAR
CUST0049,Falguni Mallick,mallickindali@example.net,2025-03-02,REGULAR
CUST0050,Garima Bala,lalpranav@example.net,2024-02-17,REGULAR
CUST0051,Ikbal Saraf,dipta69@example.net,2023-06-29,REGULAR
CUST0052,Ranveer Kumar,sarinaarav@example.net,2025-04-16,REGULAR
CUST0053,Januja Sankar,narayanandipta@example.net,2023-07-13,REGULAR
CUST0054,Yashica More,znarain@example.net,2024-04-04,VIP
CUST0055,Rehaan Salvi,nghosh@example.net,2024-04-12,REGULAR
CUST0056,Aadi Modi,shivansh69@example.net,2025-10-14,REGULAR
CUST0057,Udyati Sathe,gkala@example.com,2023-09-21,REGULAR
CUST0058,Bhanumati Varma,girik34@example.org,2023-11-06,PREMIUM
CUST0059,Aryan Batra,vaishnavibora@example.com,2024-10-05,REGULAR
CUST0060,Leena Talwar,jkohli@example.net,2025-12-04,REGULAR
CUST0061,Hredhaan Sandal,patrickvasa@example.com,2023-03-20,VIP
CUST0062,Jairaj Shan,ucchalwali@example.net,2025-07-14,REGULAR
CUST0063,Saanvi Thaman,ksehgal@example.net,2025-01-07,REGULAR
CUST0064,Aashi Kota,vedhika34@example.com,2023-05-01,REGULAR
CUST0065,Wahab Magar,ekaja81@example.org,2023-08-23,PREMIUM
CUST0066,Leela Dua,devanshsachdeva@example.com,2024-05-29,PREMIUM
CUST0067,Ojasvi Bhatia,osharamachandran@example.net,2025-12-16,REGULAR
CUST0068,Lajita Sood,pandeychanchal@example.com,2024-10-12,REGULAR
CUST0069,Vinaya Kanda,rajata70@example.com,2024-06-06,REGULAR
CUST0070,Noah Sibal,aviramesh@example.net,2025-05-26,REGULAR
CUST0071,Fiyaz Sangha,triyagopal@example.org,2024-02-09,REGULAR
CUST0072,Falak Kakar,vnarain@example.com,2024-03-08,VIP
CUST0073,Zayyan Bumb,vbahl@example.net,2023-03-22,PREMIUM
CUST0074,Udarsh Biswas,balasubramanianyug@example.org,2023-02-01,REGULAR
CUST0075,William Date,kcontractor@example.org,2024-12-23,REGULAR
CUST0076,Jyoti Ganesh,gadedeepa@example.org,2025-06-17,REGULAR
CUST0077,Devika Prashad,eissac@example.net,2025-12-08,VIP
CUST0078,Harsh Mitra,barmanidika@example.net,2024-10-27,REGULAR
CUST0079,Ekapad Toor,advik67@example.org,2024-11-04,REGULAR
CUST0080,Tripti Dua,ugoda@example.net,2025-10-07,REGULAR
CUST0081,Veda Shroff,uloyal@example.org,2023-05-15,REGULAR
CUST0082,Shravya Kohli,vraghavan@example.org,2025-02-06,REGULAR
CUST0083,Qabil Sura,ishakuruvilla@example.com,2024-03-10,REGULAR
CUST0084,Advaith Varughese,frederickkhurana@example.net,2024-09-23,PREMIUM
CUST0085,Wridesh Soni,ysem@example.org,2023-05-25,REGULAR
CUST0086,Timothy Ravel,daminipillay@example.com,2025-05-09,REGULAR
CUST0087,Pavani Narayanan,sudiksha44@example.com,2023-12-25,VIP
